NYAMAHUMBE  PRIMARY,Primary
NYAMAJURA,Secondary
NYAMAJURA,Primary
NYAMAKARATI,Primary
NYAMAKARE,Primary
NYAMAKARE SEC,Secondary
NYAMAKARI,Secondary
NYAMAKATE,Primary
NYAMAKATE,Secondary
NYAMAKOPE,Primary
NYAMAKOSI,Secondary
NYAMAKOSI,Primary
NYAMAKUTE,Primary
NYAMAKUTE,Secondary
NYAMAKUYO,Primary
NYAMAMBIZI PRIMARY,Primary
NYAMANDE,Primary
NYAMANDE,Secondary
NYAMANDE,Primary
NYAMANDE ( GOROMONZI),Primary
NYAMANDE PRIMARY,Primary
NYAMANDI,Secondary
NYAMANDI,Primary
NYAMANDI PRIMARY,Primary
NYAMANDLOVU,Primary
NYAMANDLOVU ,Secondary
NYAMANGARA,Primary
NYAMANGARA SEC,Secondary
NYAMANGORE,Primary
NYAMANGORE,Secondary
NYAMANHINDI,Primary
NYAMANJI,Primary
NYAMANYANYA,Primary
NYAMANYANYA,Secondary
NYAMANYORA,Primary
NYAMANYORA,Secondary
NYAMAPANDA,Secondary
NYAMAPANDA,Primary
NYAMARIDZA,Primary
NYAMARIDZA,Secondary
NYAMARODZA,Primary
NYAMAROPA,Primary
NYAMAROPA SECONDARY,Secondary
NYAMARURO,Primary
NYAMARURO SECONDARY SCHOO,Secondary
NYAMASAKA,Primary
NYAMASANGA,Primary
NYAMASANGA,Primary
NYAMASANGA,Primary
NYAMASANGA SEC,Secondary
NYAMASHATO,Secondary
NYAMASHATO,Primary
NYAMASHESHA,Secondary
NYAMASHESHA,Primary
NYAMASHUKA,Primary
NYAMASWAU,Primary
NYAMASWAU SECONDARY SCHOO,Secondary
NYAMATANDA,Primary
NYAMATANI,Primary
NYAMATANI,Secondary
NYAMATAWA,Secondary
NYAMATAWA,Primary
NYAMATENDERA,Secondary
NYAMATIKITI,Secondary
NYAMATIKITI,Primary
NYAMATSINE,Primary
NYAMATSITO,Primary
NYAMAURU (DANGAMVURA 2),Secondary
NYAMAURU PRIMARY,Primary
NYAMAZANA,Primary
NYAMAZANA,Secondary
NYAMAZENGWE,Primary
NYAMAZENGWE,Secondary
NYAMAZIRA,Secondary
NYAMAZIRA,Primary
NYAMAZIZI,Primary
NYAMAZIZI,Primary
NYAMBANJE,Primary
NYAMBEYA,Primary
NYAMBI,Primary
NYAMBIRI,Primary
NYAMBIRI,Secondary
NYAMBUDZI,Primary
NYAMBUDZI,Secondary
NYAMENI,Secondary
NYAMENI,Primary
NYAMHARA,Primary
NYAMHARA,Primary
NYAMHARA,Secondary
NYAMHARA,Primary
NYAMHINGURA,Secondary
NYAMHINGURA ST JAMES,Primary
NYAMHONDO,Secondary
NYAMHONDORO,Secondary
NYAMHONDORO,Primary
NYAMHONDORO,Primary
NYAMHUKA,Primary
NYAMHUNGA,Secondary
NYAMHUNGA,Primary
NYAMHUNGA,Secondary
NYAMHUNGA,Primary
NYAMHUNGA NO.1,Primary
NYAMIDZI,Secondary
NYAMIME,Primary
NYAMITA,Primary
NYAMOMBE,Secondary
NYAMUDEZA,Primary
NYAMUHWAWO,Primary
NYAMUKAMANI,Primary
NYAMUKAMANI,Secondary
NYAMUKOHO,Secondary
NYAMUKOHO,Primary
NYAMUKWARARA,Primary
NYAMUPFUKUDZA,Secondary
NYAMUPFUKUDZA,Primary
NYAMUPONDA,Primary
NYAMURONDA,Primary
NYAMURONDA,Secondary
NYAMURORO,Primary
NYAMUSEVE SECONDARY SCHOO,Secondary
NYAMUSOSA,Primary
NYAMUSOSA,Secondary
NYAMUSUNDU,Primary
NYAMUTI,Primary
NYAMUTORA,Primary
NYAMUTORA,Primary
NYAMUTORA ,Secondary
NYAMUTOWERA,Primary
NYAMUTUMBU,Secondary
NYAMUTUMBU,Primary
NYAMUWANGA,Primary
NYAMUZEYA,Secondary
NYAMUZEYA,Primary
NYAMUZIZI,Primary
NYAMUZUWE,Primary
NYAMUZUWE HIGH,Secondary
NYAMUZUWE RURAL,Secondary
NYANDA  PRIMARY,Primary
NYANDENI,Secondary
NYANDORO,Primary
NYANDORO  ,Primary
NYANGA HIGH,Secondary
NYANGAMBE,Primary
NYANGAMBE  ,Secondary
NYANGAMBE PRY,Primary
NYANGANI,Primary
NYANGANI,Secondary
NYANGOMA,Primary
NYANGOMA,Secondary
NYANGWENE,Primary
NYANGWIZHU,Primary
NYANGWIZHU,Secondary
NYANHEWE,Primary
NYANHEWE,Primary
NYANHUNDU,Primary
NYANHUNZI,Primary
NYANHUNZI SECONDARY SCHOO,Secondary
NYANINGWE,Secondary
NYANYADZI,Secondary
NYANYADZI,Primary
NYANYANA,Primary
NYANZIRA,Primary
NYANZOU,Secondary
NYANZOU,Primary
NYAODZA,Primary
NYAPFUNDE,Primary
NYARADZA,Secondary
NYARADZA,Primary
NYARADZO,Secondary
NYARUKOKORA,Primary
NYARUKOWA,Primary
NYARUKOWA,Secondary
NYARUKUNDA,Secondary
NYARUKUNDA ,Primary
NYARUMVURWE,Primary
NYARUMVURWE,Secondary
NYARUMWE,Primary
NYARUPAKWE,Primary
NYARUSHIPE,Primary
NYARUSVISVI,Primary
NYARUSVISVI SECONDARY,Secondary
NYARUTEPO,Primary
NYARUTOMBO,Primary
NYARWIZI (HAISOSWI),Secondary
NYASHANU,Secondary
NYASHANU,Primary
NYASHENJE,Primary
NYASHONGWE,Primary
NYASHONJOWA,Primary
NYATATE,Secondary
NYATATE,Primary
NYATI,Primary
NYATONDO,Primary
NYATSAMBO,Secondary
NYATSANGA,Primary
NYATSANGA,Primary
NYATSANGA SECONDARY,Secondary
NYATSANZA,Primary
NYATSATO,Primary
NYATSENGWA,Primary
NYATSIME COLLEGE,Secondary
NYATSO,Secondary
NYATSO,Primary
NYAUNDE,Primary
NYAUNDE,Secondary
NYAUROYI SECONDARY,Secondary
NYAURUNGWE,Primary
NYAURUNGWE,Secondary
NYAUTARE,Primary
NYAUTONGE,Primary
NYAUTUTU,Secondary
NYAUTUTU PRIMARY SCH.,Primary
NYAVA,Primary
NYAVA,Secondary
NYAVASIKANA ,Primary
NYAVIRA  SEC,Secondary
NYAWAGI,Primary
NYAWARO,Primary
NYAZURA,Primary
NYAZURA,Secondary
NYAZVIDZI,Primary
NYAZVIDZI ,Secondary
NYAZVIKARI,Primary
NYELE,Primary
NYEMBA,Primary
NYEVEDZANAI,Primary
NYIKA,Primary
NYIKA SEC,Secondary
NYIKAVANHU,Primary
NYIKAVANHU ,Primary
NYIKAVANHU HIGH,Secondary
NYOKA HIGH,Secondary
NYONGOLO,Primary
NYORORO,Primary
NYUMBANE,Primary
NYUNGA,Primary
NZALIKWA,Primary
NZIRA,Secondary
NZIRA,Primary
NZOVUNDE,Primary
NZUMA,Secondary
NZUMA ST HELEN,Primary
NZVENGA,Primary
NZVIMBE,Secondary
NZVIMBE,Primary
NZVIMBO,Secondary
NZVIMBO  PRIMARY,Primary
OAKLEIGH HOUSE,Primary
OBVA,Primary
OBVA SEC,Secondary
ODZA,Primary
ODZI,Secondary
ODZI,Primary
ODZI (NEGUVE),Secondary
OLD GATO,Primary
OLD MURAPA,Primary
OLD NULI,Primary
OLD WINDSOR,Primary
OLDBURY  PRIMARY,Primary
OLDONYO,Primary
OLDONYO,Secondary
ONAPATARI,Primary
ORETI,Primary
ORIEL BOYS HIGH,Secondary
ORIEL GIRLS HIGH,Secondary
ORTONS DRIFT,Primary
ORTON'S DRIFT,Secondary
OSABENI,Primary
OUR  LADY OF SORROWS PRIM,Primary
OXFORD,Primary
OZANA,Primary
PACHANZA,Primary
PACHANZA,Secondary
PACHIJE (ST STEPENS),Primary
PADDY'S VALLEY,Primary
PAFIWA MUTASA,Secondary
PAFIWA MUTASA,Primary
PAGATI ,Primary
PAGEJO RARUBI,Primary
PAGEJO RARUBI,Secondary
PAIDAMOYO ,Primary
PAKAME,Primary
PAKAME,Secondary
PAKATI,Secondary
PAKATI,Primary
PAMAVAMBO PRIVATE,Primary
PAMBE,Primary
PAMPOENPOORT ,Primary
PAMUSHANA,Secondary
PAMUSHANA,Primary
PAMWECHETE,Primary
PAMWECHETE,Secondary
PANGANAI,Secondary
PANGANAI,Primary
PANHOWE,Primary
PANSIKWE,Primary
PAPAMA,Primary
PARADZA,Primary
PARADZA PRIMARY,Primary
PARIRENYATWA,Primary
PARIREWA,Primary
PARIREWA HIGH,Secondary
PARKINSON,Secondary
PASHU PRIMARY,Primary
PASHU SEC,Secondary
PASICHIGARE,Primary
PASIPANYORO,Primary
PATANA,Primary
PATCHWAY MINE,Primary
PATHWAY PRIVATE,Primary
PATSE,Primary
PATSIKA,Primary
PAYARIRA,Primary
PAYE,Primary
PEACE  AND GOODHOPE,Primary
PEARSON  PRIMARY,Primary
PEDNOR,Primary
PEDZISAI,Primary
PELANDABA PRY,Primary
PELANDABA SDA,Primary
PELELA PRY,Primary
PELELE,Primary
PENEMENE,Primary
PENGWANA,Primary
PEPLOW,Primary
PERCY IBBOTSON,Primary
PEREGWE,Primary
PERTH,Primary
PETANI,Primary
PETERHOUSE,Secondary
PETRA,Primary
PETRA HIGH,Secondary
PEZULU,Primary
PFIMBI,Secondary
PFITSARO ,Primary
PFUMARI ,Primary
PFUMO,Primary
PFUMOIGURU,Primary
PFUMVUTI,Primary
PFUMVUTI ,Secondary
PFUNGIDZO,Secondary
PFUNYANGUWO,Secondary
PFUNYANGUWO,Primary
PFUPAJENA,Secondary
PFUPAJENA PRIMARY,Primary
PFUPI PRY,Primary
PHAHLELA,Primary
PHAKAMA,Secondary
PHAKAMA,Primary
PHAKAMANI  HIGH,Secondary
PHUMAKANYE,Primary
PHUMELELA SEC,Secondary
PHUMUZA,Primary
PICKSTONE PRIMARY,Primary
PIMAI,Primary
PIMBI,Primary
PIMENTO PARK,Primary
PINDI PARK,Primary
PINDI PARK,Secondary
PINEWOOD HIGH SCHOOL,Secondary
PINPER PRIMARY,Primary
PIONEER,Primary
PIRIVIRI,Primary
PLATINUM   ,Primary
PLUMTREE HIGH  HIGH,Secondary
POLI MAGAMA,Primary
PONDERASA,Secondary
PONDEROSA,Primary
POREPORE,Primary
PORTA,Primary
PORTA FARM,Secondary
PORTELET (BIRI),Secondary
PORTLAND,Primary
POSHAYI,Primary
POTE,Primary
POTE,Secondary
POTE,Primary
POTE,Secondary
PREMIER ESTATE,Primary
PREMIER HIGH ,Secondary
PRESBYTERIAN,Secondary
PRINCE EDWARD ,Secondary
PROSPECT,Primary
PROTEA PRIMARY,Primary
PUKUPELA,Primary
PUMULA,Secondary
PUMULA,Primary
PUNYUKA,Primary
PUPU SEC SCHOOL,Secondary
PUZANI,Primary
QUAGGA KLOOF,Primary
QUEEN ELIZABETH,Primary
QUEEN ELIZABETH GIRLS,Secondary
QUEENS MINE,Primary
QUEENSDALE,Primary
QUEENSDALE,Secondary
R C Z NYAJENA,Secondary
R J DAVIES,Primary
R.G.MUGABE,Primary
RAFFINGORA,Primary
RAFFINGORA SEC,Secondary
RAFOMOYO,Primary
RAFOMOYO,Secondary
RAIL WAY 28 PRIMARY,Primary
RAILWAY BLOCK,Primary
RAINHAM,Primary
RAINHAM,Secondary
RAKODZI HIGH,Secondary
RALPH,Primary
RAMBAKOMBWA,Secondary
RAMBAKURIMWA,Primary
